PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Patrick Mahomes,KC,528.8,334.4,3840.4,23.6,13.7,56.5,220,1.8,2.4,248.9
Blake Bortles,JAC,524.9,314.1,3639.6,21.7,13.2,58.1,326.1,2.3,2.3,247.4
Mitch Trubisky,CHI,524,315.4,3535.2,20.3,13.7,58.9,298.1,2.1,2.6,232.6
Andy Dalton,CIN,533.4,322.2,3653.0,23.6,13.1,40.9,131.2,1.3,2.9,229.5
Ryan Tannehill,MIA,552.3,348.3,3854.6,21.5,14.8,39.8,158.2,1.3,2.2,229.5
Case Keenum,DEN,553.5,345.7,3829.4,21.5,12.4,39.4,140.8,1.1,3,228.8
Derek Carr,OAK,560.7,341.7,3822.6,24.3,13.1,27.3,67.3,0.5,2.7,228
Eli Manning,NYG,590.7,361.4,3889.6,24.5,14.7,15.3,28.1,0.7,2.3,226.6
Jameis Winston,TB,465.8,289.5,3456.8,20.3,11.8,33.8,132.2,1.2,2.1,212.1
Tyrod Taylor,CLE,418.5,254.3,2823.0,16.2,7.5,63.4,348.9,2.8,2.2,210.3
Joe Flacco,BAL,542.1,333.1,3387.0,19.6,13.3,23.2,52.1,1,1.4,195.8
Sam Bradford,ARI,338.9,219.3,2413.4,13.5,7.3,12.7,27.9,0.2,1,137.7
Josh McCown,NYJ,277.7,170,1927.4,10.9,7.2,23.3,87.6,1,0.5,120.6
AJ McCarron,BUF,258.4,153.4,1728.2,9.4,7.1,22,70.9,0.5,1,101
Josh Rosen,ARI,245.3,150.7,1719.7,9,6.2,13.5,40.9,0.3,1.9,94.1
Josh Allen,BUF,235.4,138.2,1545.3,8.6,8,19.2,75.7,0.5,1.1,88.7
Sam Darnold,NYJ,234.2,141,1572.5,8.7,8.2,17.4,54.5,0.3,2.3,84.4
Baker Mayfield,CLE,138.3,81.8,922.6,5.1,3.8,12.1,50.9,0.3,1.1,54.7
Ryan Fitzpatrick,TB,126.1,75.9,871.3,4.5,3.1,8.1,34.4,0.2,0.3,50.9
Lamar Jackson,BAL,53.9,31.1,351.2,2.3,1.3,15.2,89.9,0.7,1.3,30.9
Nick Foles,PHI,49.2,29.9,350.0,3,1.6,4.7,11.6,0,0.1,23.9
Jacoby Brissett,IND,45.2,26.7,304.8,1.9,1.4,7,32.3,0.3,0,22.1
Teddy Bridgewater,NYJ,59,34.4,383.8,2,2,4.2,15.3,0,0.1,20.9
Nathan Peterman,BUF,55.5,31.5,324.5,1.5,1.5,3.5,12,0.1,0.5,16.5
Brandon Weeden,HOU,38.6,23.1,262.0,1.5,1.3,2.9,6.6,0,0,14.8
Landry Jones,PIT,35,20.7,237.5,1.1,1.1,2.4,8.2,0,0,13
Connor Cook,OAK,32.4,19.8,226.5,1.2,1,2.3,8.1,0,0,12.9
Blaine Gabbert,TEN,33,19.1,212.9,1.3,1.1,2,8,0,0,12.5
David Fales,MIA,33.1,19.2,212.4,1.1,1.2,2.7,10.6,0,0,11.8
Chase Daniel,CHI,20.8,12.9,146.9,0.8,0.2,1.2,2.4,0,0,8.9
Matt Barkley,CIN,23.6,14.2,163.3,0.7,0.6,1.2,3.6,0,0,8.8
Davis Webb,NYG,21.6,12.7,151.2,0.6,0.5,1.2,3.8,0,0.1,7.8
Jake Rudock,DET,23.1,12.7,147.5,0.6,0.8,1.2,4.6,0,0,7.3
Colt McCoy,WAS,17.6,10.6,123.3,0.6,0.5,1.5,4.6,0,0,6.9
Brett Hundley,GB,15.6,8.8,97.3,0.5,0.6,2,10,0,0.1,6.1
Paxton Lynch,DEN,16.4,9.5,104.0,0.5,0.5,1.3,7.3,0,0,6
C.J. Beathard,SF,16.6,9.8,107.0,0.3,0.3,1.4,6.9,0,0,5.9
Austin Davis,SEA,16.3,9.8,110.2,0.4,0.3,0.8,2.3,0,0,5.7
Cooper Rush,DAL,13.3,7.5,84.7,0.4,0.3,1.7,8.9,0,0,5.6
Trevor Siemian,MIN,14.3,8.8,97.0,0.3,0.3,1.3,6.1,0,0,5.4
Ryan Griffin,HOU,16.3,8.7,100.1,0.5,0.5,1,3.6,0,0.1,5.2
Cody Kessler,JAC,13.6,7.9,88.7,0.5,0.3,0.9,2.3,0,0,5.1
Brock Osweiler,MIA,15.4,9.1,102.4,0.4,0.4,0.4,2.1,0,0,5.1
Tom Savage,NO,14.1,8.6,91.0,0.3,0.4,1.2,2.9,0,0,4.7
Chad Henne,KC,13.2,8,90.4,0.3,0.5,1.1,2.4,0,0,4.2
Brian Hoyer,NE,10.3,5.9,71.3,0.4,0.2,0.7,2,0,0,4.2
DeShone Kizer,GB,9.8,5.8,64.3,0.2,0.2,1.5,7,0,0,3.8
Sean Mannion,LAR,12,6.8,74.7,0.2,0.3,2,3.5,0,0,3.7
Mason Rudolph,PIT,8.8,5.3,60.8,0.4,0.3,0.3,1.2,0,0,3.6
Matt Schaub,ATL,9.1,5.7,67.8,0.3,0.2,0.6,1,0,0,3.6
Geno Smith,LAC,11.3,6.2,69.9,0.2,0.3,1,3,0,0,3.3
EJ Manuel,OAK,9.6,5.3,62.5,0.2,0.2,0.6,3.7,0,0,3.2
Taylor Heinicke,CAR,9.3,5.3,59.7,0.2,0.1,0.3,0.3,0,0,3.2
Matt Cassel,DET,2,1.3,11.5,0,0,0,0.1,0,0,0.5
Mike White,DAL,1.3,0.8,10.2,0.1,0.1,0.1,0.2,0,0,0.5
Kevin Hogan,WAS,1,1,9.5,0,0,0,1,0,0,0.5
Robert Griffin,BAL,1,0.5,5.5,0,0,0.5,1.5,0,0,0.4
Logan Woodside,CIN,0,0,2.0,0,0,0,0,0,0,0.1
Alex McGough,SEA,0,0,2.0,0,0,0,0,0,0,0.1
Danny Etling,NE,0,0,2.0,0,0,0,0,0,0,0.1
Garrett Gilbert,CAR,0,0,2.0,0,0,0,0,0,0,0.1
Tanner Lee,JAC,0,0,2.0,0,0,0,0,0,0,0.1
Kyle Lauletta,NYG,0,0,2.0,0,0,0,0,0,0,0.1
Luke Falk,TEN,0,0,2.0,0,0,0,0,0,0,0.1
Drew Stanton,CLE,0,0,0.0,0,0,0,0,0,0,0
Joe Webb,HOU,0,0,0.0,0,0,0,0,0,0,0
Matt McGloin,KC,0,0,0.0,0,0,0,0,0,0,0
Nate Sudfeld,PHI,0,0,0.0,0,0,0,0,0,0,0
Tyler Bray,CHI,0,0,0.0,0,0,0,0,0,0,0
Cardale Jones,LAC,0,0,0.0,0,0,0,0,0,0,0
Mike Glennon,ARI,0,0,0.0,0,0,0,0,0,0,0
Bryce Petty,MIA,0,0,0.0,0,0,0,0,0,0,0
Joe Callahan,PHI,0,0,0.0,0,0,0,0,0,0,0
Taysom Hill,NO,0,0,0.0,0,0,0,0,0,0,0
Jameill Showers,DAL,0,0,0.0,0,0,0,0,0,0,0
Alex Tanney,NYG,0,0,0.0,0,0,0,0,0,0,0
